Equipo ,Match,Alianza,Auto_Line,Aut_UP,Aut_DOWN,HP,Tele_DOWN,Tele_UP,EndGame,Defense,Fouls,Off
4403 Roult,1,Roja,Si,0,0,0,0,0,0,No,0,1
4635 BotBusters,1,Roja,Si,2,0,0,0,8,0,No,0,0
4731 MonarchE,1,Roja,No,0,1,0,3,0,2,No,0,0
5696 Faraday,1,Azul,Si,0,0,0,0,0,0,No,0,1
6647 Voltec,1,Azul,Si,0,0,0,3,1,2,No,0,0
7725 Nuts&volts,1,Azul,No,0,0,0,0,0,0,No,0,1
3510 Tectronic,2,Azul,Si,0,0,0,0,0,0,No,0,1
3794 WinT,2,Azul,No,0,0,1,0,0,0,No,0,0
4782 Borrebots,2,Roja,Si,0,0,0,0,0,0,No,0,1
5948 Lebotics,2,Azul,No,0,0,0,0,1,0,No,0,1
6606 PinkHawks,2,Roja,No,0,0,0,0,0,0,No,0,1
6676 ThunderHawks,2,Roja,No,0,0,0,0,0,0,No,0,1
4371 ArtMX,3,Azul,No,0,0,0,0,0,0,No,0,0
4371 ArtMX,3,Azul,No,0,0,0,0,1,0,No,0,1
4775 Aztech,3,Azul,No,0,0,0,0,0,2,No,0,0
4775 Aztech,3,Azul,Si,0,1,0,9,0,2,No,0,0
6017 Cyberius,3,Roja,Si,0,0,1,0,0,0,No,0,0
6017 Cyberius,3,Roja,Si,0,0,0,0,0,0,Sí,36,1
8244 CBTech,3,Roja,No,0,0,1,0,0,0,No,0,1
8244 CBTech,3,Roja,Si,0,0,0,0,0,0,Sí,36,0
8293 WhiteFox,3,Azul,No,0,0,0,0,0,0,No,0,1
8293 WhiteFox,3,Azul,Si,0,0,0,0,2,0,No,0,1
8741 Racoons,3,Roja,No,0,0,1,0,0,0,No,0,1
8741 Racoons,3,Roja,No,0,0,0,2,0,0,No,0,0
2283 Panteras,4,Azul,No,0,0,1,0,0,0,No,0,1
3933 Tamankeet,4,Azul,Si,0,0,0,0,0,0,Sí,0,1
5716 Keybot,4,Roja,Si,0,0,0,0,1,0,No,4,0
6348 Horus,4,Roja,Si,0,0,0,0,5,2,No,4,0
6694 Innobotics,4,Roja,Si,0,0,1,0,2,2,No,4,0
6702 StingBots,4,Azul,No,0,0,1,0,0,0,No,0,0
3354 TecDroid,5,Azul,No,0,0,0,0,0,0,No,0,0
3478 Lambot,5,Azul,Si,0,0,0,0,8,3,No,0,0
5959 TitaniumRams,5,Roja,No,0,0,0,0,0,0,No,0,0
6106 Tecgear,5,Roja,No,0,0,0,0,0,0,Sí,0,1
7421 OVERTURE,5,Azul,Si,0,0,0,8,3,2,Sí,0,0
8776 NorthernLizards,5,Roja,Si,0,0,0,0,0,1,No,0,1
4010 Nautilus,6,Azul,Si,0,0,0,0,3,0,Sí,0,1
5133 BlueSteel,6,Azul,Si,0,0,0,0,0,0,No,0,1
5887 IMPERATOR,6,Roja,Si,0,0,0,2,0,0,Sí,4,0
5932 Quetzales,6,Azul,Si,0,0,0,1,0,0,No,0,0
6170 Vitronik,6,Roja,Si,0,0,0,0,0,2,No,4,0
8734 B.A.T.S.,6,Roja,No,0,0,0,1,0,0,No,4,0
3472 Buluk,7,Roja,Si,0,0,0,0,0,0,No,4,1
3794 WinT,7,Roja,No,0,0,0,0,0,0,No,4,0
4371 ArtMX,7,Azul,Si,0,0,0,0,0,0,No,4,0
4723 Earth,7,Azul,Si,0,0,0,0,0,0,No,4,0
6832 STEAMex,7,Azul,Si,1,0,0,0,0,0,No,4,0
8740 QuantumForce,7,Roja,No,0,0,0,0,0,0,Sí,4,0
3510 Tectronic,8,Roja,No,0,0,0,0,0,0,No,0,1
5696 Faraday,8,Roja,Si,0,0,0,0,0,2,No,0,0
6647 Voltec,8,Azul,No,0,0,0,1,3,2,No,0,1
6702 StingBots,8,Azul,Si,0,0,0,0,0,0,No,0,1
8244 CBTech,8,Roja,No,0,0,0,0,0,0,No,0,1
8741 Racoons,8,Azul,No,0,0,0,0,0,0,No,0,1
4731 MonarchE,9,Azul,Si,0,0,0,4,0,2,No,0,0
