Equipo ,Match,Auto_Line,Aut_UP,Aut_DOWN,HP,Tele_DOWN,Tele_UP,EndGame,Defense,Fouls,Off,Value
4403,8,1,1,0,0,0,6,2,8,-3,1,13
4635,9,2,7,0,0,0,27,15,9,-6,0,54
4731,9,1,0,1,0,3,0,1,9,-5,3,6
5696,9,2,0,0,0,1,1,0,9,-9,4,2
6647,11,1,1,0,0,0,4,6,11,-1,2,18
7725,10,0,0,0,0,0,0,0,10,-3,5,3
3510,9,0,0,0,0,0,0,0,9,-1,6,2
3794,8,1,0,0,0,0,0,2,8,-9,2,1
4782,9,2,0,0,0,0,3,1,9,-4,2,8
5948,11,1,0,0,0,0,3,0,11,-1,4,8
6606,8,0,0,0,0,0,0,0,8,0,5,3
6676,10,1,0,0,0,0,0,0,10,-5,6,2
4371,10,0,0,0,0,0,0,0,10,-3,6,2
4775,10,1,0,1,0,4,0,9,10,-6,3,13
6017,11,0,0,0,0,0,0,0,11,-5,8,1
8244,11,0,0,0,0,0,0,0,11,-5,6,2
8293,10,1,0,0,0,0,0,0,10,-7,5,2
8741,9,0,0,0,0,0,0,0,9,-8,4,0
2283,9,0,0,0,0,0,0,1,9,-3,6,2
3933,9,2,0,0,0,0,5,3,9,-7,3,8
5716,9,1,0,0,0,0,1,1,9,-4,2,6
6348,12,1,1,0,0,0,9,7,12,-6,1,22
6694,10,1,2,0,0,0,7,5,10,-3,1,19
6702,8,1,1,0,0,0,0,0,8,-4,4,3
3354,10,1,1,0,0,0,1,0,10,-3,2,8
3478,10,2,4,0,0,0,13,4,10,-4,4,17
5959,10,1,1,0,0,0,1,3,10,-1,2,12
6106,10,1,0,1,0,0,0,0,10,-7,5,2
7421,11,1,5,0,0,6,4,4,11,-4,0,27
8776,10,0,0,0,0,0,0,0,10,-4,3,4
4010,10,1,1,0,0,0,3,4,10,-1,5,9
5133,9,0,0,0,0,0,0,0,9,-3,6,2
5887,11,1,0,1,0,3,0,4,11,-1,2,15
5932,8,1,0,0,0,0,0,0,8,-3,2,4
6170,10,2,1,0,0,1,2,2,10,-7,1,9
8734,9,1,0,0,0,0,0,0,9,-8,4,1
3472,10,1,0,0,0,0,0,0,10,-2,9,0
4723,9,1,0,0,0,0,2,0,9,-2,1,8
6832,8,2,0,0,0,0,1,8,8,-5,3,8
8740,11,0,0,0,0,0,0,0,11,-11,3,0
9999,1,0,0,0,0,2,0,0,1,0,1,0
