Header,Column1,Match Match,Red Alliance Red Alliance Blue Alliance,Red Alliance Red Alliance Blue Alliance2,Red Alliance Red Alliance Blue Alliance3,Red Alliance Red Alliance Blue Alliance4,Red Alliance Red Alliance Blue Alliance5,Red Alliance Red Alliance Blue Alliance6,Blue Alliance Red Alliance Blue Alliance,Blue Alliance Red Alliance Blue Alliance2,Blue Alliance Red Alliance Blue Alliance3,Blue Alliance Red Alliance Blue Alliance4,Blue Alliance Red Alliance Blue Alliance5,Blue Alliance Red Alliance Blue Alliance6,Scores Red Score Blue Score,Scores Red Score Blue Score2
Qualifications,,Quals 1,4635,4635,4403,4403,4731,4731,6647,6647,5696,5696,7725,7725,34,13
Qualifications,,Quals 1,4635,4635,4635,4635,4403,4403,4403,4403,4731,4731,4731,4731,34,34
Qualifications,,Quals 1,6647,6647,6647,6647,5696,5696,5696,5696,7725,7725,7725,7725,13,13
Qualifications,,Quals 2,6676,6676,4782,4782,6606,6606,3510,3510,5948,5948,3794,3794,0,6
Qualifications,,Quals 2,6676,6676,6676,6676,4782,4782,4782,4782,6606,6606,6606,6606,0,0
Qualifications,,Quals 2,3510,3510,3510,3510,5948,5948,5948,5948,3794,3794,3794,3794,6,6
Qualifications,,Quals 3,6017,6017,8244,8244,8741,8741,4775,4775,8293,8293,4371,4371,8,63
Qualifications,,Quals 3,6017,6017,6017,6017,8244,8244,8244,8244,8741,8741,8741,8741,8,8
Qualifications,,Quals 3,4775,4775,4775,4775,8293,8293,8293,8293,4371,4371,4371,4371,63,63
Qualifications,,Quals 4,5716,5716,6694,6694,6348,6348,3933,3933,2283,2283,6702,6702,37,11
Qualifications,,Quals 4,5716,5716,5716,5716,6694,6694,6694,6694,6348,6348,6348,6348,37,37
Qualifications,,Quals 4,3933,3933,3933,3933,2283,2283,2283,2283,6702,6702,6702,6702,11,11
Qualifications,,Quals 5,5959,5959,8776,8776,6106,6106,3478,3478,7421,7421,3354,3354,0,53
Qualifications,,Quals 5,5959,5959,5959,5959,8776,8776,8776,8776,6106,6106,6106,6106,0,0
Qualifications,,Quals 5,3478,3478,3478,3478,7421,7421,7421,7421,3354,3354,3354,3354,53,53
Qualifications,,Quals 6,6170,6170,8734,8734,5887,5887,5932,5932,4010,4010,5133,5133,8,21
Qualifications,,Quals 6,6170,6170,6170,6170,8734,8734,8734,8734,5887,5887,5887,5887,8,8
Qualifications,,Quals 6,5932,5932,5932,5932,4010,4010,4010,4010,5133,5133,5133,5133,21,21
Qualifications,,Quals 7,3794,3794,8740,8740,3472,3472,4723,4723,6832,6832,4371,4371,4,23
Qualifications,,Quals 7,3794,3794,3794,3794,8740,8740,8740,8740,3472,3472,3472,3472,4,4
Qualifications,,Quals 7,4723,4723,4723,4723,6832,6832,6832,6832,4371,4371,4371,4371,23,23
Qualifications,,Quals 8,5696,5696,8244,8244,3510,3510,6702,6702,6647,6647,8741,8741,10,24
Qualifications,,Quals 8,5696,5696,5696,5696,8244,8244,8244,8244,3510,3510,3510,3510,10,10
Qualifications,,Quals 8,6702,6702,6702,6702,6647,6647,6647,6647,8741,8741,8741,8741,24,24
Qualifications,,Quals 9,6106,6106,6694,6694,5948,5948,8293,8293,5716,5716,4731,4731,22,25
Qualifications,,Quals 9,6106,6106,6106,6106,6694,6694,6694,6694,5948,5948,5948,5948,22,22
Qualifications,,Quals 9,8293,8293,8293,8293,5716,5716,5716,5716,4731,4731,4731,4731,25,25
Qualifications,,Quals 10,6348,6348,6606,6606,4010,4010,4782,4782,3478,3478,4775,4775,24,53
Qualifications,,Quals 10,6348,6348,6348,6348,6606,6606,6606,6606,4010,4010,4010,4010,24,24
Qualifications,,Quals 10,4782,4782,4782,4782,3478,3478,3478,3478,4775,4775,4775,4775,53,53
Qualifications,,Quals 11,5133,5133,5887,5887,6017,6017,6676,6676,3354,3354,4723,4723,4,6
Qualifications,,Quals 11,5133,5133,5133,5133,5887,5887,5887,5887,6017,6017,6017,6017,4,4
Qualifications,,Quals 11,6676,6676,6676,6676,3354,3354,3354,3354,4723,4723,4723,4723,6,6
Qualifications,,Quals 12,8734,8734,6832,6832,3933,3933,7421,7421,8776,8776,7725,7725,27,23
Qualifications,,Quals 12,8734,8734,8734,8734,6832,6832,6832,6832,3933,3933,3933,3933,27,27
Qualifications,,Quals 12,7421,7421,7421,7421,8776,8776,8776,8776,7725,7725,7725,7725,23,23
